nombre;apellido;correo;rut;numero;contrasena;confirmaciones;servicios;
Andrés;Fernández;afernandez@email.com;612428905;23456789;pass123456;[];[[balo,    balo], [    sabo,     sabo], [    vadfvadfv,     vadfvadfv], [    bbsdfbfdbdfbsd,     bbsdfbfdbdfbsd], [    dfhsdhn,     dfhsdhn], [    1234566778,     1234566778], [    123456789,     123456789], [    publicacion,     publicacion]];
Carla;García;cgarcia@email.com;752558647;34567890;securepass1234;[];[[cada,    cada]];
Marcos;Silva;msilva@email.com;970805192;45678901;abc12345;[];[[cada,    cada]];
Ana;Sánchez;asanchez@email.com;447283018;56789012;pass123456;[];[[cvxc,    cvxc], [    vavasdv,     vavasdv], [    asdvasv,     asdvasv], [    adawada,     adawada]];
Javier;Martínez;jmartinez@email.com;405049783;67890123;password1234;[];[[publicacion,    publicacion]];
Sofía;Gómez;sgomez@email.com;266458754;78901234;securepass12345;[];[[,    ]];
Juan;Pérez;jperez@email.com;352107425;89012345;123456789;[];[[,    ]];
María;Fernández;mfernandez@email.com;768611076;90123456;pass1234567;[];[[,    ]];
Pablo;Ramírez;pramirez@email.com;54854358;11111111;password123;[];[[,    ]];
Alejandra;Mendoza;amendoza@email.com;677680075;22222222;securepass;[];[[publicacion,    publicacion]];
Ricardo;Fuentes;rfuentes@email.com;92037851;33333333;abc1234;[];[[,    ]];
Marta;Soto;msoto@email.com;302338981;44444444;pass1234;[];[[,    ]];
Manuel;Morales;mmorales@email.com;601692376;55555555;password12345;[];[[,    ]];
Paula;Pizarro;ppizarro@email.com;665081591;66666666;securepass123;[];[[,    ]];
Luis;Araya;laraya@email.com;383076544;77777777;abc12345;[];[[,    ]];
Andrea;Vera;avera@email.com;982201799;88888888;pass1234567;[];[[,    ]];
Alejandro;Ríos;arios@email.com;970075704;99999999;securepass1234;[];[[,    ]];
Patricia;Cortés;pcortes@email.com;69398940K;12121212;password1234;[];[[,    ]];
Raúl;Orellana;rorellana@email.com;374244140;23232323;abc12345;[];[[electricista,    electricista]];
Carolina;Guzmán;cguzman@email.com;178215949;34343434;pass123456;[];[[electricista,    electricista]];
dgsdfgafd;mafganfgna;bdfbdfbdfb123@yjeng.com;639817482;12345567;fgsdbdf;[];[[gasfiter,    gasfiter]];
camila;henriquez;c.henriquez@lchtemuco.cl;127069255;12345678;chenriquez;[];[[publicacionloca,    publicacionloca], [    gasfiter,     gasfiter], [    3434tgfb,     3434tgfb], [    agssba,     agssba], [    casa,     casa], [    liceop,     liceop], [    xaxa,     xaxa], [    b,     b], [    19,     19], [    holaquehaceeeeeeeeeefas,     holaquehaceeeeeeeeeefas], [    xaxa,     xaxa]];
hernestro;Garcia;h.Garcia@ufro.cl;5060442k;12345678;hGarcia;[];[];
felipe;monsalves;felipe@email.com;21221772-32;12345678;abc123;[];[[,    ], [   busco programador de pruebas unitarias,    pago bien xd]];
gdfbsbmfd;bsfgblsbbg;bdfbsdfb@bsbsbgsbfgb.bsdbbs;858902401;12345678;hbhhfedf;[];[];
bhisdfbbdf;kjqdfbdfbkh;bsdfbsdf@bsbsdf.bfbdf;21079526k;12345678;grgadfgdf;[];[];
